[2021-07-15 11:19:24,277][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-15 11:19:38,400][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-15 11:26:33,674][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-15 11:27:56,393][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-15 11:30:06,169][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-15 11:33:33,774][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-15 11:33:55,614][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-15 11:35:55,449][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-15 11:45:00,844][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-15 12:00:40,890][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-15 12:47:24,952][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-15 12:48:44,808][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-15 12:52:43,831][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-15 13:03:16,519][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-15 17:37:07,558][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-15 21:21:26,544][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-16 12:22:54,129][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-16 17:37:13,175][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-16 17:38:20,308][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-16 17:39:14,528][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-16 17:41:51,981][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-17 21:10:27,833][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-17 22:02:24,906][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-17 22:23:45,895][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-17 23:18:42,799][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-18 00:12:09,609][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-18 00:14:10,063][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-18 00:14:53,816][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-18 01:18:27,807][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-18 13:55:27,876][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-18 15:10:05,540][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-21 11:33:57,364][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-21 11:43:02,906][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-21 11:49:07,347][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-21 11:52:44,083][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-21 11:55:44,257][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-21 11:57:23,974][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-21 11:59:04,117][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,132][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,148][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,148][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,163][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,179][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,195][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,210][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,226][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,242][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,257][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,257][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,273][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,288][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,304][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,304][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,320][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,335][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,351][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 11:59:04,367][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2021-07-21 12:26:31,172][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-21 12:26:56,668][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-21 12:27:17,449][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-25 21:04:05,616][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-25 21:04:53,723][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-25 21:12:54,524][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-25 21:16:34,165][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-25 21:25:01,718][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-25 21:30:32,771][numba.cuda.cudadrv.driver][INFO] - init
[2021-07-25 21:34:57,673][numba.cuda.cudadrv.driver][INFO] - init
